Title;Year;Age;IMDb;Rotten Tomatoes;Netflix;Hulu;Prime Video;Disney+;Directors;Genres;Country;Language;Runtime
Octonauts: The Ring of Fire;2021;all;7,2;46;1;0;0;0;Blair Simmons,Qin Zhou;Animation;China,United Kingdom;Chinese;72
Sardar Ka Grandson;2021;;4,1;46;1;0;0;0;Kaashvi Nair;Comedy,Drama,Romance;India;Hindi;139
June & Kopi;2021;;6,3;46;1;0;0;0;Noviandra Santosa;Comedy,Drama,Family;Indonesia;Indonesian;90
Strain;2021;;5,5;46;1;0;0;0;Uduak-Obong Patrick;Drama;Nigeria;English,Yoruba,Ibo;106
Emicida: AmarElo ƒ?? Live in SÇœo Paulo;2021;;6,6;46;1;0;0;0;Fred Ouro Preto;Music;Brazil;Portuguese;99
Kambili: The Whole 30 Yards;2021;;6,4;46;1;0;0;0;Kayode Kasum;Romance;Nigeria;English;119
Therapy;2021;;;45;1;0;0;0;John Carney;Drama;Ireland;English,Irish;85
Madam Chief Minister;2021;;4,7;45;1;0;0;0;Subhash Kapoor;Drama;India;Hindi;130
Tersanjung the Movie;2021;;6,0;45;1;0;0;0;Pandu Adjisurya,Hanung Bramantyo,Nur Jihat Hisyam;Drama,Romance;Indonesia;Indonesian;114
Hostage House;2021;;5,0;45;1;0;0;0;David Benullo;Thriller;United States;English;85
The Last Kids on Earth: Happy Apocalypse to You;2021;18+;7,1;45;1;0;0;0;Steve Rolston;Animation,Short,Comedy,Family;United States;English;27
Geez & Ann;2021;16+;5,1;45;1;0;0;0;Rizki Balki;Drama,Romance;Indonesia;Indonesian;105
The Heartbreak Club;2021;16+;6,4;44;1;0;0;0;Bagus Bramanti,Charles Gozali;Comedy,Drama,Romance;Indonesia;Indonesian;101
Lee Su-geun: The Sense Coach;2021;;4,0;44;1;0;0;0;;Comedy;South Korea;Korean;45
Soy Rada: Serendipia;2021;;5,8;44;1;0;0;0;Pablo Faro;Comedy;Argentina;Spanish;68
Chris Rock Total Blackout: The Tamborine Extended Cut;2021;;7,1;44;1;0;0;0;Bo Burnham;Comedy;United States;English;98
Resort to Love;2021;;3,8;44;1;0;0;0;Steven K. Tsuchida;Comedy,Romance;United States;English;101
Gatao: The Last Stray;2021;;6,0;44;1;0;0;0;Jui-Chih Chiang;Action,Crime,Drama,Romance;Taiwan;Mandarin;121
Clash;2021;;7,2;44;1;0;0;0;Mohamed Diab;Drama,Thriller,War;Egypt,France,Germany;Arabic,English;97
One Lagos Night;2021;;6,9;44;1;0;0;0;Ekene Som Mekwunye;Comedy,Crime;Nigeria;English;104
Super Monsters: Once Upon a Rhyme;2021;;5,6;43;1;0;0;0;;Animation,Family;;English;25
Chhota Bheem - Neeli Pahaadi;2021;;7,4;43;1;0;0;0;Rajiv Chilaka;Animation;;;63
The Misadventures of Hedi and Cokeman;2021;;4,5;43;1;0;0;0;Julien Hollande;Action,Comedy,Crime;France;French,Arabic,Russian;99
Tuesdays And Fridays;2021;;4,5;43;1;0;0;0;Taranveer Singh;Comedy,Musical,Romance;India;Hindi;106
Mommy Issues;2021;;5,3;43;1;0;0;0;Jose Javier Reyes;Comedy;Philippines;Tagalog,Filipino;90
Loyiso Gola: Unlearning;2021;16+;5,9;43;1;0;0;0;Kagiso Lediga;Comedy;South Africa;;60
Just in Time;2021;;6,8;42;1;0;0;0;Norman Jewison;Comedy,Romance;United States,Italy;English,Italian;109
Sarbath;2021;;5,7;41;1;0;0;0;Prabhakaran;Comedy,Drama;India;Tamil;112
Alan SaldaÇña: Locked Up;2021;;4,1;41;1;0;0;0;Alex DÇðaz;Comedy;Mexico;Spanish;49
2 Weeks in Lagos;2021;;7,2;40;1;0;0;0;Kathryn Fasegha;Romance;Nigeria;English;107
Myriam Fares: The Journey;2021;;2,0;40;1;0;0;0;Myriam Fares;Documentary,Music;Lebanon;Arabic;71
Virgen de San Juan;2021;;5,9;40;1;0;0;0;Francisco PÇ¸rez;Drama,History;Mexico;Spanish;
What Happened to Mr. Cha?;2021;;4,3;39;1;0;0;0;Dong-kyu Kim;Comedy,Drama;South Korea;Korean;102
RebellComedy: Straight Outta the Zoo;2021;18+;4,7;36;1;0;0;0;Ladislaus Kiraly;Comedy;Germany;German;74
Sanitation Day;2021;;3,8;34;1;0;0;0;Seyi Babatope;Thriller;Nigeria;Yoruba;104
Trese After Dark;2021;13+;;24;1;0;0;0;Gio Puyat;Documentary,Short;United States;English;35
The Last Mercenary;2021;;5,9;23;1;0;0;0;David Charhon;Action,Comedy;France;French;110
The Circle: The Afterparty;2021;;;21;1;0;0;0;;Talk-Show;;;
The Upshaws - The Afterparty;2021;18+;;20;1;0;0;0;;Talk-Show;;;
D.O.D.: Day of Destiny;2021;;;16;1;0;0;0;Jun'ichi SatÇï;Animation,Action,Adventure,Comedy,Family,Fantasy,Romance;;Japanese;
Time To Dance;2021;;;15;1;0;0;0;Stanley D'Costa;Musical,Romance;India;Hindi;113
Ratones Paranoicos: The Band that Rocked Argentina;2021;;;12;1;0;0;0;;;;;
Nomadland;2021;18+;7,4;79;0;1;0;0;ChloÇ¸ Zhao;Drama;Germany,United States;English;107
Boss Level;2021;18+;6,9;75;0;1;0;0;Joe Carnahan;Action,Mystery,Sci-Fi,Thriller;United States;English;94
Barb & Star Go to Vista Del Mar;2021;13+;6,4;73;0;1;0;0;Josh Greenbaum;Comedy;United States,Mexico;English;107
Summer of Soul (...or, When the Revolution Could Not Be Televised);2021;13+;8,3;72;0;1;0;0;Questlove;Documentary,Music;United States;English;118
Quo vadis, Aida?;2021;;7,9;71;0;1;0;0;Jasmila Zbanic;Drama,History,War;Bosnia & Herzegovina,Austria,Romania,Netherlands,Germany,Poland,France,Turkey,Norway;Serbo-Croatian,Bosnian,English,Dutch,Serbian;101
Plan B;2021;18+;6,7;70;0;1;0;0;Natalie Morales;Comedy;United States;English;107
Willy's Wonderland;2021;18+;5,5;69;0;1;0;0;Kevin Lewis;Action,Comedy,Horror,Thriller;United States;English;88
Some Kind of Heaven;2021;13+;7,2;68;0;1;0;0;Lance Oppenheim;Documentary;United States;English;83
The United States vs. Billie Holiday;2021;18+;6,3;67;0;1;0;0;Lee Daniels;Biography,Drama,Music;United States;English,Italian,German;126
Silk Road;2021;18+;5,9;65;0;1;0;0;Tiller Russell;Crime,Drama,Thriller;United States;English;112
Shadow in the Cloud;2021;18+;4,8;65;0;1;0;0;Roseanne Liang;Action,Horror,War;New Zealand,United States;English;83
Fear of Rain;2021;13+;5,9;64;0;1;0;0;Castille Landon;Drama,Horror,Thriller;United States;English;109
Framing Britney Spears;2021;16+;6,9;64;0;1;0;0;Samantha Stark;Documentary;United States;English;74
Little Fish;2021;16+;6,9;63;0;1;0;0;Chad Hartigan;Drama,Romance,Sci-Fi;United States,Canada;English;101
The Trip to Greece;2021;13+;6,6;63;0;1;0;0;Michael Winterbottom;Comedy,Drama;United Kingdom;English,Greek,Turkish;103
MLK/FBI;2021;7+;6,9;62;0;1;0;0;Sam Pollard;Documentary;United States;English;104
kid 90;2021;13+;6,9;62;0;1;0;0;Soleil Moon Frye;Documentary,Biography,History;United States;English;71
The Outside Story;2021;;6,1;61;0;1;0;0;Casimir Nozkowski;Drama;United States;English;85
WeWork: or The Making and Breaking of a $47 Billion Unicorn;2021;13+;6,6;61;0;1;0;0;Jed Rothstein;Documentary;United States;English;104
Night of the Kings;2021;18+;6,5;59;0;1;0;0;Philippe LacÇïte;Drama,Fantasy;France,CÇïte dƒ??Ivoire,Canada,Senegal;French,Dyula;93
False Positive;2021;18+;4,6;59;0;1;0;0;John Lee;Horror,Mystery,Thriller;United States;English;92
Bad Hair;2021;;5,5;58;0;1;0;0;Justin Simien;Comedy,Horror,Music;United States;;102
A Glitch in the Matrix;2021;;5,2;58;0;1;0;0;Rodney Ascher;Documentary;United States;English;108
Buddy Games;2021;18+;4,8;57;0;1;0;0;Josh Duhamel;Comedy;United States,Canada;English;90
Dark Web: Cicada 3301;2021;18+;4,9;56;0;1;0;0;Alan Ritchson;Action,Comedy,Thriller;United States;English;104
The Ultimate Playlist of Noise;2021;18+;6,6;54;0;1;0;0;Bennett Lasseter;Comedy,Drama,Music;United States;English;99
69: The Saga of Danny Hernandez;2021;18+;5,3;53;0;1;0;0;Vikram Gandhi;Documentary,Music;United States;English;102
The Resort;2021;;3,3;52;0;1;0;0;Taylor Chien;Horror;United States;English;75
Dr. Bird's Advice for Sad Poets;2021;18+;6,1;51;0;1;0;0;Yaniv Raz;Comedy,Drama,Mystery;United States;English,French;109
Phobias;2021;18+;3,6;51;0;1;0;0;Camilla Belle,Maritte Lee Go,Joe Sill,Jess Varley,Chris von Hoffmann;Horror,Thriller;United States;English;85
Stars Fell on Alabama;2021;13+;5,5;51;0;1;0;0;V.W. Scheich;Comedy,Drama,Romance;United States;English;103
Olympic Dreams Featuring Jonas Brothers;2021;7+;8,5;48;0;1;0;0;;Sport;United States;English;60
Her Name Is Chef;2021;;;47;0;1;0;0;Peter Ferriero;Documentary;United States;English;98
Dreamcatcher;2021;;2,6;47;0;1;0;0;Jacob Johnston;Horror,Mystery,Thriller;United States;English;108
North Korea: Inside The Mind of a Dictator;2021;13+;6,7;44;0;1;0;0;Rob Coldstream;Documentary;United States;English;86
Safer at Home;2021;18+;4,5;44;0;1;0;0;Will Wernick;Thriller;United States;English;82
GameStopped;2021;;3,9;41;0;1;0;0;;Documentary;United States;English;
One Night in Miami...;2021;18+;7,1;86;0;0;1;0;Regina King;Drama;United States;English;114
The Tomorrow War;2021;13+;6,6;81;0;0;1;0;Chris McKay;Action,Adventure,Drama,Sci-Fi,Thriller;United States;English;138
Our Friend;2021;18+;7,3;74;0;0;1;0;Gabriela Cowperthwaite;Drama,Romance;United States;English;124
Coming 2 America;2021;13+;5,3;70;0;0;1;0;Craig Brewer;Comedy;United States;English;110
The Map of Tiny Perfect Things;2021;13+;6,8;69;0;0;1;0;Ian Samuels;Comedy,Fantasy,Romance;United States;English;98
Tom Clancy's Without Remorse;2021;18+;5,8;69;0;0;1;0;Stefano Sollima;Action,Thriller,War;United States;English;109
Jolt;2021;18+;5,5;67;0;0;1;0;Tanya Wexler;Action,Thriller;United States;English;91
Jathi Ratnalu;2021;;7,6;61;0;0;1;0;Anudeep K.V.;Comedy;India;Telugu;145
Parallel;2021;18+;5,8;59;0;0;1;0;Isaac Ezban;Drama,Sci-Fi,Thriller;Canada;English;104
My Heart Can't Beat Unless You Tell It To;2021;;6,2;59;0;0;1;0;Jonathan Cuartas;Drama,Horror;United States;English,Spanish;90
Mary J. Blige's My Life;2021;18+;6,5;57;0;0;1;0;Vanessa Roth;Documentary;United States;English;82
Chick Fight;2021;18+;4,6;57;0;0;1;0;Paul Leyden;Action,Comedy,Drama,Sport;United States;English;97
P!nk: All I Know So Far;2021;;7,9;57;0;0;1;0;Michael Gracey;Documentary,Biography,Music;United States;English;99
Luxor;2021;;5,3;55;0;0;1;0;Zeina Durra;Drama,Romance;Egypt,United Kingdom,United Arab Emirates;English,Arabic;85
Son of the South;2021;13+;5,7;54;0;0;1;0;Barry Alexander Brown;Biography,Drama;United States;English;105
Hoodman;2021;;5,9;54;0;0;1;0;Mark W. Curran;Crime,Horror,Thriller;United States;English;98
Butchers;2021;;4,6;54;0;0;1;0;Adrian Langley;Horror;Canada;English;92
Cold Case;2021;;6,1;53;0;0;1;0;;Crime,Drama,Mystery,Thriller;United States;English;44
American Mobster: Retribution;2021;;6,3;53;0;0;1;0;Gregory Hatanaka;Action;United States;;
One and the Same;2021;;6,5;53;0;0;1;0;Felipe Cisneros;Mystery;United States;English;110
The Pond;2021;;4,2;50;0;0;1;0;Petar Pasic;Drama,Horror,Mystery;Serbia;English;96
Introspectum Motel;2021;;3,7;50;0;0;1;0;Marcel Dorian;Thriller;United Kingdom,Romania;English;88
Stallone: Frank, That Is;2021;;6,5;50;0;0;1;0;Derek Wayne Johnson;Documentary;United States;English;73
Blood Born;2021;;4,0;50;0;0;1;0;Reed Shusterman;Horror;United States;English;92
Goodbye, Butterfly;2021;;4,8;49;0;0;1;0;Tyler Wayne;Thriller;United States;;98
Red Woods;2021;;3,2;48;0;0;1;0;Nicholas Danko;Adventure,Horror,Mystery;United States;English;95
The Lift;2021;;4,7;48;0;0;1;0;Dick Maas;Horror,Sci-Fi,Thriller;Netherlands;English,Dutch;95
The Alpha Test;2021;;3,2;48;0;0;1;0;Aaron Mirtes;Sci-Fi;United States;English;87
Journey to Royal: A WWII Rescue Mission;2021;;5,4;47;0;0;1;0;Christopher Johnson;Documentary,History,War;United States;English;90
My Brother's Keeper;2021;13+;5,3;46;0;0;1;0;Kevan Otto;Drama,Family;United States;English;97
These Streets We Haunt;2021;;4,8;46;0;0;1;0;Jason Cunningham;Drama,Fantasy;United States;English;107
Steps;2021;;;46;0;0;1;0;Rock Davis,Jay Rodriguez Jr.;Drama;United States;English;118
Expiry;2021;;4,4;46;0;0;1;0;Tom Gatley;Sci-Fi;United Kingdom;English;85
The Heiress;2021;18+;4,7;46;0;0;1;0;William Wyler;Drama,Romance;United States;English,French;115
Lazarus;2021;;3,1;46;0;0;1;0;David Gelb;Horror,Mystery,Sci-Fi,Thriller;United States;English;83
My Beautiful Bride;2021;;4,8;45;0;0;1;0;Chadney Cooles;Drama,Thriller;United States;English;85
Volcanic UFO Mysteries;2021;;6,0;45;0;0;1;0;Darcy Weir;Documentary;United States;English;62
Bottom Feeders;2021;;6,6;44;0;0;1;0;Stephen M. Miller;Comedy;United States;;98
Ape Canyon;2021;;5,8;44;0;0;1;0;Joshua Land;Comedy,Drama;United States;English;73
Hot Money;2021;;5,8;44;0;0;1;0;Susan Kucera;Documentary;United States;English;118
Travis Turner;2021;;3,6;44;0;0;1;0;Mike Klassen;Drama;Canada;English;72
Nightingale: A Melody of Life;2021;;6,2;43;0;0;1;0;Gowtham Namasivayam;Drama,Music;United States;English;98
The Believer;2021;;3,8;43;0;0;1;0;Henry Bean;Drama;United States;English,Hebrew;98
Kilroy;2021;;5,2;43;0;0;1;0;Chris Bollinger;Biography,Drama,History;United States;English;86
Gun and a Hotel Bible;2021;;6,6;42;0;0;1;0;Raja Gosnell,Alicia Joy LeBlanc,Raja Gosnell,Alicia Joy LeBlanc;Drama;United States;English;58
Axeman at Cutters Creek;2021;;3,8;42;0;0;1;0;Joston Theney;Horror;United States;English;77
Hampton's Legion;2021;;1,9;42;0;0;1;0;Christopher Forbes;Action,War;United States;English;80
The Bid;2021;18+;4,1;41;0;0;1;0;Maurquis Boone;Comedy;United States;English;90
Priorities Chapter One: Money Isn't Everything;2021;;;41;0;0;1;0;Felton Young;Drama;United States;English;146
All We Got;2021;;5,3;40;0;0;1;0;AndrÇ¸ L. Hopson;Drama;United States;English;101
Good Grief It's Friday;2021;;4,8;40;0;0;1;0;Michael Shaun Patterson;Drama,Musical;Canada;English;
The Healing Garden;2021;all;5,6;38;0;0;1;0;Joseph Granda;Family;United States;English;95
Ester Steinberg Burning Bush;2021;13+;;38;0;0;1;0;Brian Volk-Weiss;Comedy;United States;English;
Honesty Weekend;2021;;4,7;38;0;0;1;0;Leslie Anne Thomas;Comedy;United States;English;90
Virus Shark;2021;;1,9;38;0;0;1;0;Mark Polonia;Horror;United States;English;74
Magic Max;2021;13+;4,6;37;0;0;1;0;James D. Fields;Drama;United States;English;97
Voyage of the Chimera;2021;;3,8;37;0;0;1;0;Michael Gates;Sci-Fi;United States;English;84
Love You Right: An R&B Musical;2021;;6,6;35;0;0;1;0;Christina Faith;Drama,Musical,Romance;United States;English;
Fishbowl;2021;;;35;0;0;1;0;Alexa Kinigopoulos,Stephen Kinigopoulos;Drama,Thriller;United States;English;85
Mummy Dearest;2021;;2,4;34;0;0;1;0;White Cross;Horror,Mystery,Thriller;United States;English;94
Aperture Kids and the Mysterious Neighbor;2021;;4,9;33;0;0;1;0;Steve Landreth;Drama,Family,Mystery;United States;English;87
Luca;2021;7+;7,5;82;0;0;0;1;Enrico Casarosa;Animation,Adventure,Comedy,Family,Fantasy;United States;English,Italian;95
Raya and the Last Dragon;2021;7+;7,4;81;0;0;0;1;Don Hall,Carlos LÇüpez Estrada,Paul Briggs,John Ripa;Animation,Action,Adventure,Comedy,Family,Fantasy;United States;English;107
22 vs. Earth;2021;all;6,5;64;0;0;0;1;Kevin Nolting;Animation,Short,Adventure,Comedy,Family,Fantasy;United States;English;9
The Simpsons: The Good, the Bart, and the Loki;2021;7+;6,1;64;0;0;0;1;David Silverman;Animation,Short,Action,Comedy,Family;United States;English;4
Us Again;2021;all;7,9;64;0;0;0;1;Zach Parrish;Animation,Short,Drama,Family,Musical;United States;English;7
Flora & Ulysses;2021;7+;6,3;62;0;0;0;1;Lena Khan;Adventure,Comedy,Family;United States;English;95
Miraculous World: Shanghai ƒ?? The Legend of Ladydragon;2021;7+;7,6;62;0;0;0;1;Thomas Astruc;Animation,Action,Adventure,Family,Fantasy,Romance;United States,France;French,English;52
Maggie Simpson in The Force Awakens from Its Nap;2021;18+;6,2;61;0;0;0;1;David Silverman;Animation,Short,Comedy,Family,Sci-Fi;United States;English;3
Stuntman;2021;13+;7,1;56;0;0;0;1;Kurt Mattila;Documentary;United States;English;87
The Little Prince(ss);2021;;7,5;56;0;0;0;1;Moxie Peng;Short,Drama;United States;English;18
Wolfgang;2021;;7,0;54;0;0;0;1;David Gelb;Documentary,Biography;United States;English,German;78
Star Wars Biomes;2021;;6,7;54;0;0;0;1;;Short,Sci-Fi;United States;English;18
Shark Beach with Chris Hemsworth;2021;;6,8;53;0;0;0;1;Sally Aitken;Documentary;United States;English;45
Playing with Sharks: The Valerie Taylor Story;2021;13+;7,8;53;0;0;0;1;Sally Aitken;Documentary,Adventure;United States;English;95
Marvel's Behind the Mask;2021;13+;6,4;53;0;0;0;1;Mike Jacobs;Documentary;United States;English;64
American Eid;2021;all;7,4;52;0;0;0;1;Aqsa Altaf;Short,Drama;United States;Urdu,English;20
Let's Be Tigers;2021;7+;7,2;51;0;0;0;1;Stefanie Abel Horowitz;Short,Drama;United States;English;14
Growing Fangs;2021;;6,5;49;0;0;0;1;Ann Marie Pace;Short;United States;Spanish,English;18
Orca Vs Great White;2021;13+;5,6;49;0;0;0;1;;Documentary;;English;
The Last of the Chupacabras;2021;;6,4;48;0;0;0;1;Jessica Mendez Siqueiros;Short,Drama;United States;Spanish,English;13
Dinner Is Served;2021;;6,1;48;0;0;0;1;Willy Adkins;Short,Horror;United States;English;
Rogue Shark?;2021;13+;7,2;47;0;0;0;1;;Documentary;United States;English;
Own the Room;2021;7+;6,4;46;0;0;0;1;Cristina Costantini,Darren Foster;Documentary;United States;English;91
World's Biggest Bull Shark?;2021;13+;;45;0;0;0;1;;Documentary;United States;English;
Shark Gangs;2021;13+;6,8;45;0;0;0;1;;Documentary;;English;
My Music Story: Yoshiki;2021;16+;7,3;33;0;0;0;1;Aiji Okazaki,Kentaro Takayanagi;Documentary,Music;United States,Japan;Japanese;47
Disney My Music Story: Sukima Switch;2021;16+;;16;0;0;0;1;;Documentary,Music;United States;Japanese;81
Built for Mars: The Perseverance Rover;2021;;;14;0;0;0;1;Mark Davis;;United States;;
